,param_bootstrap,param_max_depth,param_n_estimators,param_criterion,param_min_samples_split,param_max_features,param_class_weight,param_warm_start,mean_test_score
0,False,40,40,gini,5,log2,balanced,True,0.8134137921257617
1,False,40,40,gini,5,log2,balanced,False,0.8142332723816263
2,False,40,40,gini,5,log2,balanced_subsample,True,0.8145302275187154
3,False,40,40,gini,5,log2,balanced_subsample,False,0.8141263833152849
